CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
1179;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;OA70096;;;RED PRIMARIA DE AGUA - ALIMENTACION CRUZ DEL SUR - TRAMO 3;RED PRIMARIA;AYSA;A+T;EN PROYECTO;REALIZADO;;;;20000000;0;300;0;;;;;PLANIFICACION;1;0;;;;;1454;;0;0
2138;2021-08-27;Quilmes;SUDESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIO SPRINGFIELD + COMPLETAMIENTO SAN SEBASTIÁN II;RED SECUNDARIA;AYSA;A+T;EN PROYECTO;EN ELABORACION;;;;26000000;0;0;0;;;;;PLANIFICACION;1;3686;;;;;3000;;0;0
2341;2021-08-27;Ezeiza;SUDOESTE;AGUA;DDC;EXPANSION;SA70253;;;RED SECUNDARIA DE AGUA B° ATE MOD 2;RED PRIMARIA;AYSA;A+T;EN PROYECTO;REALIZADO;;;;26000000;0;0;0;;;;;PLANIFICACION;1;1264;;;;;2686;;0;0
2373;2021-08-27;Avellaneda;SUDESTE;CLOACA;DDC;EXPANSION;SC617;;;RSC BARRIO OBRERO NORTE M3 + BARRIO MADARIAGA;RED SECUNDARIA;AYSA;C+T;EN PROYECTO;REALIZADO;;;;26000000;0;120;0;;;;;PLANIFICACION;1;1200;;;;;;1000;0;0
2556;2021-08-27;Quilmes;SUDESTE;CLOACA;DDC;EXPANSION;SC70288;;;RED SECUNADARIA CLOACAL PASCO OESTE TERMINACION;RED SECUNDARIA;AYSA;C+T;EN PROYECTO;REALIZADO;;;;109523000;0;570;0;;;;;PLANIFICACION;1;17000;;;;;;1200;0;0
2503;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SC70209;;;RED SECUNDARIA CLOACAL BURZACO 2 OESTE;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;REALIZADO;;;;23761564,14;0;240;0;;;;;PLANIFICACION;1;239;;;;;;1200;0;0
2528;2021-08-27;Avellaneda;SUDESTE;CLOACA;DDC;EXPANSION;SC70253;;;RSC DANUBIO AZUL + NUEVA ANA;RED SECUNDARIA;AYSA;C+T;EN PROYECTO;EN ELABORACION;;;;26000000;0;0;0;;;;;PLANIFICACION;1;900;;;;;;1000;0;0
2169;2021-08-27;San Isidro;NORTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL LA CAVA;RED SECUNDARIA;AYSA;C+T;EN PROYECTO;EN ELABORACION;;;;100000000;0;0;0;;;;;PLANIFICACION;1;7825;;;;;;10000;0;0
49727;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIO PALITO;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;5600000;0;300;0;;;;PROYECTO PREVISTO;;1;2320;;;;;3000;;0;0
49728;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS LA MATANZA 4;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;240;0;;;;PROYECTO PREVISTO;;1;878;;;;;;1000;0;0
